customer_id,total_transactions,total_volume,total_revenue,avg_transaction_value,fraud_transactions,anomaly_transactions,signup_date,customer_segment,acquisition_channel,churn_flag,customer_age_days,cac,ltv
24,17,2048.75,10.25,120.51470588235294,1,0,2025-05-18,Standard,Google Ads,False,390,80,10.25
25,22,15972.34,79.88,726.0154545454545,1,1,2024-04-27,Standard,LinkedIn,False,776,120,79.88
26,18,2247.65,11.24,124.86944444444445,0,0,2026-01-04,Standard,Referral,False,159,20,11.24
27,15,11676.71,58.39,778.4473333333333,0,0,2023-12-09,Premium,Organic,False,916,0,58.39
28,19,2338.5,11.68,123.07894736842105,1,0,2024-03-17,Standard,Google Ads,False,817,80,11.68
29,17,13201.43,66.0,776.554705882353,0,0,2025-11-29,Premium,Referral,False,195,20,66.0
30,24,3905.56,19.53,162.73166666666665,1,0,2026-06-09,Standard,Organic,False,3,0,19.53
31,29,4320.57,21.6,148.9851724137931,0,0,2024-05-19,Standard,Google Ads,True,754,80,21.6
32,21,3270.8,16.34,155.75238095238097,0,0,2026-03-15,Standard,LinkedIn,False,89,120,16.34
33,30,8926.98,44.620000000000005,297.566,2,0,2024-04-13,Standard,LinkedIn,False,790,120,44.620000000000005
34,21,17105.53,85.50999999999999,814.5490476190475,0,0,2025-02-28,Premium,Organic,False,469,0,85.50999999999999
35,17,12848.099999999999,64.26,755.770588235294,0,1,2024-10-09,Standard,Facebook Ads,False,611,60,64.26
36,23,3911.79,19.53,170.07782608695652,0,0,2024-06-25,Standard,Organic,False,717,0,19.53
37,23,3950.88,19.74,171.77739130434784,2,0,2025-10-27,Standard,Facebook Ads,False,228,60,19.74
38,18,2294.96,11.46,127.49777777777778,0,0,2024-09-13,Standard,Google Ads,False,637,80,11.46
39,18,13374.67,66.86,743.0372222222222,0,0,2025-05-22,Premium,LinkedIn,False,386,120,66.86
40,22,3575.77,17.89,162.535,0,0,2024-04-09,Standard,Referral,False,794,20,17.89
41,23,16461.06,82.34,715.6982608695653,1,0,2026-04-22,Premium,Facebook Ads,False,51,60,82.34
42,14,11376.9,56.89,812.6357142857142,0,0,2023-10-04,Premium,Google Ads,True,982,80,56.89
43,30,4695.66,23.46,156.522,1,0,2025-05-27,Standard,Organic,False,381,0,23.46
44,23,3673.98,18.38,159.7382608695652,1,0,2023-10-20,Standard,Google Ads,False,966,80,18.38
45,14,2702.65,13.53,193.04642857142858,0,0,2025-06-14,Standard,Organic,True,363,0,13.53
46,25,3369.86,16.84,134.7944,0,0,2023-12-30,Standard,Organic,True,895,0,16.84
47,21,17295.88,86.47999999999999,823.6133333333333,1,1,2025-06-07,Standard,Organic,False,370,0,86.47999999999999
48,22,3585.69,17.95,162.9859090909091,0,0,2024-06-26,Standard,Organic,False,716,0,17.95
49,22,3213.5499999999997,16.08,146.07045454545454,1,0,2025-05-31,Standard,Organic,False,377,0,16.08
50,29,4681.52,23.42,161.43172413793104,0,0,2025-05-03,Standard,Organic,False,405,0,23.42
51,14,2202.5,11.01,157.32142857142858,0,0,2024-06-12,Standard,Facebook Ads,False,730,60,11.01
52,15,11344.34,56.73,756.2893333333334,0,0,2024-01-12,Premium,LinkedIn,False,882,120,56.73
53,16,2263.81,11.34,141.488125,0,0,2023-12-18,Standard,Organic,False,907,0,11.34
54,20,3366.08,16.84,168.304,1,0,2024-03-15,Standard,Google Ads,False,819,80,16.84
55,16,2795.8199999999997,13.99,174.73874999999998,0,0,2024-08-04,Standard,Facebook Ads,False,677,60,13.99
56,19,13340.03,66.7,702.1068421052632,0,0,2025-07-15,Premium,LinkedIn,False,332,120,66.7
57,20,3191.95,15.96,159.5975,1,0,2023-07-04,Standard,Facebook Ads,False,1074,60,15.96
58,20,7862.99,39.32,393.1495,1,0,2024-01-14,Standard,Google Ads,True,880,80,39.32
59,24,3896.88,19.49,162.37,0,0,2024-03-02,Standard,Organic,True,832,0,19.49
60,17,2554.74,12.780000000000001,150.27882352941174,0,0,2025-05-23,Standard,Organic,False,385,0,12.780000000000001
61,19,2925.21,14.600000000000001,153.9584210526316,0,0,2025-09-15,Standard,Organic,False,270,0,14.600000000000001
62,15,1975.6299999999999,9.89,131.70866666666666,0,0,2025-08-25,Standard,Google Ads,True,291,80,9.89
63,23,92519.14000000001,462.58,4022.5713043478268,0,1,2025-11-11,Premium,Referral,True,213,20,462.58
64,17,7785.51,38.92,457.97117647058826,0,0,2024-10-24,Standard,Organic,True,596,0,38.92
65,20,10775.11,53.86000000000001,538.7555,1,0,2023-10-21,Standard,Google Ads,False,965,80,53.86000000000001
66,24,15865.44,79.32,661.0600000000001,1,1,2023-08-21,Standard,Google Ads,False,1026,80,79.32
67,21,14867.26,74.33,707.9647619047619,0,1,2023-08-08,Standard,LinkedIn,True,1039,120,74.33
68,24,14361.21,71.79,598.38375,1,0,2024-07-10,Premium,Organic,False,702,0,71.79
69,20,3087.88,15.43,154.394,0,0,2025-01-09,Standard,Facebook Ads,True,519,60,15.43
70,18,2902.66,14.5,161.2588888888889,0,0,2025-07-04,Standard,Referral,False,343,20,14.5
71,22,3261.61,16.32,148.255,0,0,2025-10-05,Standard,Google Ads,False,250,80,16.32
72,20,3572.05,17.84,178.60250000000002,0,0,2025-07-10,Standard,Organic,True,337,0,17.84
73,21,3465.32,17.3,165.0152380952381,0,0,2024-03-04,Standard,Facebook Ads,False,830,60,17.3
74,16,10566.23,52.839999999999996,660.389375,0,0,2025-10-05,Premium,LinkedIn,False,250,120,52.839999999999996
75,16,2690.6800000000003,13.46,168.16750000000002,0,0,2025-05-13,Standard,Google Ads,False,395,80,13.46
76,14,115606.70000000001,578.04,8257.621428571429,1,4,2025-01-29,Business,Organic,True,499,0,578.04
77,26,3985.19,19.93,153.27653846153845,0,0,2024-12-25,Standard,Referral,False,534,20,19.93
78,23,19497.9,97.49,847.7347826086957,0,0,2023-08-13,Premium,Facebook Ads,False,1034,60,97.49
79,17,1706.3,8.53,100.37058823529412,0,0,2024-03-04,Standard,Google Ads,False,830,80,8.53
80,20,3176.04,15.879999999999999,158.802,0,0,2024-02-07,Standard,LinkedIn,False,856,120,15.879999999999999
81,16,16480.25,82.4,1030.015625,0,0,2025-10-09,Premium,Referral,False,246,20,82.4
82,21,16937.01,84.7,806.5242857142856,0,0,2024-10-22,Premium,LinkedIn,False,598,120,84.7
83,20,3692.36,18.45,184.618,0,0,2023-12-29,Standard,Facebook Ads,False,896,60,18.45
84,32,28484.04,142.41,890.12625,0,0,2024-11-05,Premium,Google Ads,False,584,80,142.41
85,18,142325.77,711.63,7906.987222222222,0,3,2026-05-29,Business,Google Ads,False,14,80,711.63
86,20,3148.31,15.73,157.4155,0,0,2026-05-15,Standard,Google Ads,False,28,80,15.73
87,22,18549.38,92.75,843.1536363636365,0,0,2023-10-18,Premium,Google Ads,False,968,80,92.75
88,28,8371.12,41.86,298.96857142857147,0,0,2024-03-09,Standard,Organic,True,825,0,41.86
89,22,2767.68,13.81,125.80363636363636,0,0,2024-01-03,Standard,Google Ads,False,891,80,13.81
90,24,3982.87,19.94,165.95291666666665,0,0,2023-08-19,Standard,Referral,True,1028,20,19.94
91,14,18358.17,91.77,1311.297857142857,0,1,2025-11-21,Standard,Referral,False,203,20,91.77
92,19,3226.8,16.15,169.83157894736843,0,0,2024-05-13,Standard,Google Ads,False,760,80,16.15
93,19,12901.660000000002,64.49,679.0347368421053,0,1,2025-05-14,Standard,Google Ads,False,394,80,64.49
94,20,3459.2,17.29,172.95999999999998,0,0,2025-12-27,Standard,Referral,False,167,20,17.29
95,21,14936.22,74.68,711.2485714285714,1,0,2026-01-17,Premium,LinkedIn,False,146,120,74.68
96,18,2287.69,11.450000000000001,127.0938888888889,2,0,2025-12-18,Standard,Google Ads,False,176,80,11.450000000000001
97,23,137813.74,689.04,5991.901739130434,0,1,2024-04-23,Business,Referral,False,780,20,689.04
98,18,2628.43,13.139999999999999,146.02388888888888,0,0,2024-10-07,Standard,Facebook Ads,False,613,60,13.139999999999999
99,31,5796.17,29.0,186.9732258064516,1,0,2025-10-03,Standard,LinkedIn,False,252,120,29.0
100,18,2203.9900000000002,11.01,122.4438888888889,0,0,2024-07-30,Standard,Referral,False,682,20,11.01
101,24,4970.48,24.84,207.10333333333332,1,0,2023-09-15,Standard,Organic,False,1001,0,24.84
102,17,2103.14,10.51,123.71411764705881,0,0,2023-06-14,Standard,Google Ads,False,1094,80,10.51
103,14,1969.53,9.84,140.6807142857143,0,0,2024-10-16,Standard,LinkedIn,False,604,120,9.84
104,20,2736.72,13.67,136.83599999999998,1,0,2023-09-19,Standard,Referral,True,997,20,13.67
105,18,2481.95,12.42,137.8861111111111,0,0,2024-11-04,Standard,LinkedIn,True,585,120,12.42
106,20,14563.800000000001,72.82,728.19,0,0,2025-07-28,Premium,Organic,False,319,0,72.82
107,17,14145.380000000001,70.73,832.0811764705883,0,0,2025-06-18,Premium,Google Ads,False,359,80,70.73
108,27,11666.789999999999,58.32,432.1033333333333,0,0,2023-08-01,Standard,Google Ads,False,1046,80,58.32
109,20,2698.85,13.5,134.9425,2,0,2024-04-04,Standard,Organic,False,799,0,13.5
110,23,19932.66,99.67,866.6373913043478,0,0,2023-07-21,Premium,Organic,False,1057,0,99.67
111,11,1728.6100000000001,8.63,157.14636363636365,0,0,2024-10-15,Standard,Referral,False,605,20,8.63
112,17,2145.14,10.73,126.18470588235293,0,0,2025-04-15,Standard,Google Ads,False,423,80,10.73
113,22,17945.03,89.7,815.6831818181818,1,0,2024-07-21,Premium,Google Ads,False,691,80,89.7
114,40,6113.27,30.6,152.83175,0,0,2026-05-19,Standard,Organic,False,24,0,30.6
115,25,10026.15,50.120000000000005,401.046,0,0,2025-02-16,Standard,Facebook Ads,True,481,60,50.120000000000005
116,18,2533.19,12.68,140.73277777777778,0,0,2024-04-17,Standard,Referral,True,786,20,12.68
117,21,2890.06,14.43,137.62190476190477,1,0,2025-11-14,Standard,Organic,False,210,0,14.43
118,21,95729.45,478.62,4558.545238095238,0,2,2024-01-03,Business,Google Ads,False,891,80,478.62
119,24,2972.74,14.87,123.86416666666666,0,0,2024-01-20,Standard,Google Ads,False,874,80,14.87
120,17,2308.01,11.55,135.76529411764707,0,0,2025-12-09,Standard,Google Ads,False,185,80,11.55
121,20,13048.91,65.24,652.4455,0,0,2024-08-15,Premium,Google Ads,False,666,80,65.24
122,22,17200.37,85.99,781.8349999999999,1,0,2024-05-11,Premium,Organic,True,762,0,85.99
123,30,5498.16,27.490000000000002,183.272,0,0,2024-01-15,Standard,Organic,False,879,0,27.490000000000002
124,26,21116.45,105.61,812.1711538461539,1,0,2026-04-12,Premium,Organic,False,61,0,105.61
125,28,4979.8,24.87,177.85,1,0,2024-11-03,Standard,Organic,False,586,0,24.87
126,13,2168.29,10.83,166.79153846153847,0,0,2023-12-20,Standard,Facebook Ads,False,905,60,10.83
127,16,2233.35,11.17,139.584375,0,0,2026-01-02,Standard,Google Ads,False,161,80,11.17
128,21,2960.5,14.82,140.97619047619048,0,0,2025-04-15,Standard,Organic,False,423,0,14.82
129,22,10686.93,53.44,485.7695454545455,1,0,2023-09-07,Standard,Organic,False,1009,0,53.44
130,15,2166.89,10.82,144.45933333333332,0,0,2023-12-19,Standard,Organic,True,906,0,10.82
131,22,3298.47,16.509999999999998,149.93045454545452,0,0,2025-02-21,Standard,Organic,False,476,0,16.509999999999998
132,16,4568.610000000001,22.84,285.53812500000004,0,0,2024-03-12,Standard,Referral,False,822,20,22.84
133,22,3560.74,17.8,161.85181818181817,0,0,2024-05-24,Standard,Google Ads,True,749,80,17.8
134,14,11617.23,58.07,829.8021428571428,0,0,2025-12-28,Premium,Referral,False,166,20,58.07
135,24,3764.83,18.830000000000002,156.86791666666667,0,0,2023-12-05,Standard,Organic,False,920,0,18.830000000000002
136,20,2601.2200000000003,13.0,130.061,0,0,2024-08-11,Standard,Google Ads,False,670,80,13.0
137,18,2199.7,11.01,122.20555555555555,1,0,2024-03-18,Standard,Facebook Ads,True,816,60,11.01
138,20,14555.85,72.78999999999999,727.7925,0,0,2025-04-25,Premium,LinkedIn,False,413,120,72.78999999999999
139,16,13686.08,68.41,855.38,0,0,2024-04-07,Premium,Organic,False,796,0,68.41
140,27,4736.24,23.68,175.41629629629628,0,0,2025-11-11,Standard,Facebook Ads,False,213,60,23.68
141,16,10814.19,54.08,675.886875,0,0,2023-12-26,Premium,Organic,False,899,0,54.08
142,19,3171.38,15.870000000000001,166.91473684210527,0,0,2025-04-08,Standard,Organic,False,430,0,15.870000000000001
143,22,3129.37,15.63,142.24409090909091,0,0,2024-11-20,Standard,Google Ads,False,569,80,15.63
144,17,13194.02,65.96000000000001,776.1188235294118,0,1,2024-08-07,Standard,Organic,False,674,0,65.96000000000001
145,18,2488.67,12.45,138.25944444444445,0,0,2025-12-12,Standard,Referral,False,182,20,12.45
146,18,3102.75,15.51,172.375,0,0,2024-04-01,Standard,LinkedIn,False,802,120,15.51
147,24,3366.12,16.81,140.255,1,0,2026-03-30,Standard,Organic,False,74,0,16.81
148,19,4779.3,23.900000000000002,251.5421052631579,0,0,2023-10-18,Standard,Referral,True,968,20,23.900000000000002
149,21,17224.28,86.12,820.2038095238095,0,0,2025-03-28,Premium,Organic,True,441,0,86.12
150,31,11240.769999999999,56.23,362.6054838709677,0,0,2025-11-21,Standard,Google Ads,False,203,80,56.23
151,14,2191.6,10.95,156.54285714285714,0,0,2025-09-12,Standard,Facebook Ads,False,273,60,10.95
152,28,4576.84,22.88,163.45857142857145,0,0,2024-06-23,Standard,Google Ads,True,719,80,22.88
153,15,10645.01,53.25,709.6673333333333,0,0,2025-01-16,Premium,Organic,False,512,0,53.25
154,8,1107.24,5.55,138.405,0,0,2026-01-17,Standard,Google Ads,False,146,80,5.55
155,14,1912.4,9.56,136.6,0,0,2024-02-09,Standard,Organic,False,854,0,9.56
156,29,4176.45,20.88,144.0155172413793,1,0,2026-03-31,Standard,Organic,False,73,0,20.88
157,22,3180.89,15.9,144.5859090909091,0,0,2025-10-24,Standard,Organic,False,231,0,15.9
158,20,3341.63,16.72,167.0815,1,0,2026-03-09,Standard,Organic,False,95,0,16.72
159,21,3695.62,18.48,175.98190476190476,1,0,2025-08-04,Standard,Google Ads,False,312,80,18.48
160,20,3195.42,15.98,159.77100000000002,0,0,2025-04-13,Standard,Referral,False,425,20,15.98
161,25,4838.84,24.18,193.55360000000002,2,0,2023-07-21,Standard,Facebook Ads,False,1057,60,24.18
162,22,15412.689999999999,77.07000000000001,700.5768181818181,0,1,2026-05-14,Standard,Google Ads,False,29,80,77.07000000000001
163,11,1837.4499999999998,9.19,167.04090909090908,0,0,2023-06-28,Standard,Facebook Ads,False,1080,60,9.19
164,27,297919.10000000003,1489.5900000000001,11034.040740740742,0,3,2026-05-11,Business,Referral,False,32,20,1489.5900000000001
165,14,1757.49,8.78,125.535,0,0,2024-02-16,Standard,Organic,False,847,0,8.78
166,19,2861.27,14.3,150.59315789473683,0,0,2024-04-21,Standard,Referral,False,782,20,14.3
167,24,21709.42,108.55,904.5591666666666,0,1,2025-07-01,Standard,Organic,False,346,0,108.55
168,18,13272.23,66.36,737.3461111111111,0,0,2024-10-07,Premium,Referral,False,613,20,66.36
169,16,2378.7799999999997,11.89,148.67374999999998,0,0,2025-06-14,Standard,Referral,False,363,20,11.89
170,20,2624.67,13.15,131.2335,0,0,2026-01-31,Standard,Google Ads,False,132,80,13.15
171,24,3710.52,18.57,154.605,0,0,2024-11-07,Standard,Organic,False,582,0,18.57
172,16,8742.5,43.71,546.40625,0,0,2023-09-02,Premium,Organic,False,1014,0,43.71
173,16,10774.41,53.88,673.400625,1,0,2023-10-29,Premium,Organic,False,957,0,53.88
174,16,12386.2,61.93,774.1375,0,0,2023-10-07,Premium,Organic,False,979,0,61.93
175,22,7641.8,38.22,347.3545454545455,0,0,2024-10-14,Standard,Organic,False,606,0,38.22
176,19,2761.17,13.79,145.32473684210527,0,0,2026-01-31,Standard,Facebook Ads,True,132,60,13.79
177,20,3079.39,15.4,153.96949999999998,2,0,2026-05-30,Standard,Facebook Ads,False,13,60,15.4
178,21,17482.1,87.41000000000001,832.4809523809523,0,0,2024-08-31,Standard,Referral,False,650,20,87.41000000000001
179,18,12306.95,61.559999999999995,683.7194444444444,1,1,2023-09-04,Standard,Organic,False,1012,0,61.559999999999995
180,15,6018.98,30.11,401.26533333333333,1,0,2024-01-15,Standard,Facebook Ads,False,879,60,30.11
181,18,98176.64,490.89,5454.257777777778,1,1,2023-07-16,Business,Google Ads,True,1062,80,490.89
182,19,2831.62,14.16,149.03263157894736,0,0,2025-03-20,Standard,LinkedIn,False,449,120,14.16
183,23,3267.99,16.34,142.08652173913043,0,0,2025-09-14,Standard,LinkedIn,False,271,120,16.34
184,22,13770.47,68.85,625.9304545454545,0,1,2023-07-16,Standard,Referral,False,1062,20,68.85
185,15,11031.26,55.16,735.4173333333333,0,0,2023-06-23,Premium,Organic,False,1085,0,55.16
186,19,3056.86,15.3,160.88736842105263,1,0,2023-08-07,Standard,Referral,False,1040,20,15.3
187,18,3154.92,15.75,175.27333333333334,2,0,2025-03-20,Standard,Organic,False,449,0,15.75
188,17,2874.2,14.37,169.0705882352941,0,0,2024-12-11,Standard,LinkedIn,False,548,120,14.37
189,21,3778.6,18.91,179.93333333333334,0,0,2025-07-05,Standard,Referral,False,342,20,18.91
190,18,2528.56,12.64,140.47555555555556,0,0,2023-06-17,Standard,Google Ads,False,1091,80,12.64
191,14,2601.05,13.0,185.78928571428574,0,0,2024-07-04,Standard,LinkedIn,False,708,120,13.0
192,23,19461.55,97.28,846.1543478260869,0,0,2025-11-12,Standard,Referral,False,212,20,97.28
193,15,2765.88,13.82,184.392,0,0,2024-05-01,Standard,Organic,False,772,0,13.82
194,25,3292.6,16.45,131.704,0,0,2025-06-04,Standard,Organic,False,373,0,16.45
195,16,100631.0,503.17,6289.4375,0,2,2025-08-20,Business,Google Ads,False,296,80,503.17
196,24,3489.98,17.45,145.41583333333332,0,0,2025-12-30,Standard,LinkedIn,False,164,120,17.45
197,28,22978.45,114.89,820.6589285714286,0,0,2025-11-20,Premium,LinkedIn,False,204,120,114.89
198,20,14741.92,73.71,737.096,0,0,2024-05-02,Premium,LinkedIn,False,771,120,73.71
199,16,2174.74,10.89,135.92125,1,0,2024-07-26,Standard,Google Ads,False,686,80,10.89
200,20,2721.31,13.6,136.0655,0,0,2023-09-18,Standard,Google Ads,True,998,80,13.6
201,18,1957.06,9.78,108.72555555555556,0,0,2023-06-20,Standard,Organic,False,1088,0,9.78
202,27,18627.62,93.18,689.9118518518518,0,0,2025-07-25,Premium,Referral,False,322,20,93.18
203,23,10115.88,50.589999999999996,439.8208695652174,0,0,2023-07-17,Standard,Referral,False,1061,20,50.589999999999996
204,27,13020.44,65.12,482.23851851851856,0,1,2025-10-27,Standard,Facebook Ads,False,228,60,65.12
205,15,2141.09,10.71,142.73933333333335,0,0,2023-12-05,Standard,Organic,False,920,0,10.71
206,9,1719.2,8.58,191.02222222222224,0,0,2024-10-13,Standard,LinkedIn,True,607,120,8.58
207,26,3861.3199999999997,19.3,148.51230769230767,1,0,2023-06-28,Standard,Referral,False,1080,20,19.3
208,18,2388.0299999999997,11.93,132.66833333333332,0,0,2025-08-26,Standard,Referral,True,290,20,11.93
209,20,3361.45,16.81,168.0725,1,0,2025-04-12,Standard,Referral,False,426,20,16.81
210,26,20547.18,102.72,790.2761538461539,2,0,2026-01-02,Premium,Facebook Ads,False,161,60,102.72
211,23,3866.6400000000003,19.34,168.11478260869566,1,0,2023-11-29,Standard,Referral,False,926,20,19.34
212,20,3107.83,15.52,155.3915,1,0,2025-01-17,Standard,Organic,False,511,0,15.52
213,13,85001.98,425.01,6538.613846153846,0,2,2023-09-30,Business,Facebook Ads,False,986,60,425.01
214,21,2686.02,13.41,127.90571428571428,1,0,2026-03-03,Standard,Organic,False,101,0,13.41
215,21,3338.74,16.68,158.98761904761903,0,0,2024-05-30,Standard,Google Ads,False,743,80,16.68
216,14,2311.59,11.57,165.11357142857145,2,0,2025-08-20,Standard,LinkedIn,True,296,120,11.57
217,23,2973.54,14.84,129.28434782608696,0,0,2023-07-06,Standard,Facebook Ads,False,1072,60,14.84
218,21,18567.05,92.86,884.145238095238,1,0,2024-07-21,Premium,Google Ads,False,691,80,92.86
219,22,3718.99,18.59,169.045,1,0,2024-06-13,Standard,Google Ads,False,729,80,18.59
220,19,14992.18,74.98,789.062105263158,1,0,2024-09-27,Premium,Organic,False,623,0,74.98
221,19,14750.88,73.75,776.3621052631579,1,0,2024-08-03,Premium,Facebook Ads,False,678,60,73.75
222,22,18581.25,92.92,844.6022727272727,1,1,2026-04-20,Standard,Organic,False,53,0,92.92
223,29,15625.68,78.11999999999999,538.816551724138,0,0,2023-08-05,Standard,Organic,False,1042,0,78.11999999999999
224,24,3954.71,19.76,164.77958333333333,1,0,2025-03-11,Standard,Referral,False,458,20,19.76
225,18,2929.97,14.66,162.7761111111111,0,0,2024-04-21,Standard,Organic,False,782,0,14.66
226,22,3366.7799999999997,16.83,153.03545454545454,0,0,2023-06-24,Standard,Referral,False,1084,20,16.83
227,20,3102.86,15.5,155.143,1,0,2026-05-19,Standard,Organic,False,24,0,15.5
228,17,13433.38,67.2,790.1988235294117,0,1,2023-08-09,Standard,Facebook Ads,False,1038,60,67.2
229,20,2916.93,14.59,145.8465,0,0,2024-09-17,Standard,LinkedIn,False,633,120,14.59
230,14,2053.03,10.27,146.645,0,0,2024-01-07,Standard,Google Ads,False,887,80,10.27
231,25,3831.98,19.17,153.2792,0,0,2025-04-20,Standard,Organic,False,418,0,19.17
232,19,17165.32,85.83,903.437894736842,0,0,2024-11-23,Premium,LinkedIn,False,566,120,85.83
233,19,3213.52,16.07,169.13263157894735,0,0,2026-01-28,Standard,Google Ads,False,135,80,16.07
234,21,10167.08,50.82000000000001,484.14666666666665,0,0,2025-08-11,Standard,Referral,False,305,20,50.82000000000001
235,17,2401.44,12.02,141.26117647058823,0,0,2023-11-22,Standard,Google Ads,False,933,80,12.02
236,29,4536.38,22.66,156.42689655172416,0,0,2024-10-13,Standard,Facebook Ads,True,607,60,22.66
237,20,3122.77,15.620000000000001,156.1385,0,0,2024-07-15,Standard,Referral,True,697,20,15.620000000000001
238,16,10817.88,54.08,676.1175,0,0,2023-11-10,Premium,Organic,False,945,0,54.08
239,15,2497.75,12.48,166.51666666666668,0,0,2024-02-10,Standard,Referral,True,853,20,12.48
240,22,2867.61,14.32,130.3459090909091,0,0,2024-03-19,Standard,Google Ads,False,815,80,14.32
241,21,117515.9,587.5699999999999,5595.995238095238,1,3,2023-11-07,Business,Referral,False,948,20,587.5699999999999
242,14,2262.59,11.309999999999999,161.61357142857145,0,0,2025-05-28,Standard,Organic,True,380,0,11.309999999999999
243,21,107532.76000000001,537.66,5120.60761904762,1,0,2025-09-16,Business,Google Ads,False,269,80,537.66
244,26,3553.63,17.75,136.67807692307693,1,0,2023-09-09,Standard,Referral,False,1007,20,17.75
245,17,2149.71,10.75,126.4535294117647,0,0,2023-10-09,Standard,Google Ads,False,977,80,10.75
246,24,3441.31,17.24,143.38791666666665,1,0,2023-09-22,Standard,Google Ads,True,994,80,17.24
247,21,2453.85,12.27,116.85,0,0,2025-09-17,Standard,Referral,False,268,20,12.27
248,15,74515.70999999999,372.57,4967.713999999999,0,3,2025-10-14,Business,Organic,False,241,0,372.57
249,24,3160.38,15.8,131.6825,0,0,2025-12-31,Standard,Organic,False,163,0,15.8
250,17,3311.56,16.56,194.79764705882351,0,0,2025-06-20,Standard,Google Ads,False,357,80,16.56
251,27,3856.73,19.27,142.84185185185186,0,0,2024-03-23,Standard,Organic,False,811,0,19.27
252,17,3019.66,15.1,177.6270588235294,0,0,2024-07-15,Standard,Organic,False,697,0,15.1
253,18,9652.810000000001,48.239999999999995,536.2672222222222,0,0,2024-06-19,Standard,Organic,False,723,0,48.239999999999995
254,26,3266.15,16.35,125.62115384615385,1,0,2023-10-31,Standard,Organic,False,955,0,16.35
255,25,3996.34,19.98,159.8536,0,0,2025-02-22,Standard,Facebook Ads,False,475,60,19.98
256,18,2759.6,13.8,153.3111111111111,0,0,2025-11-24,Standard,Google Ads,False,200,80,13.8
257,23,10921.03,54.629999999999995,474.8273913043478,2,0,2025-06-29,Standard,Referral,False,348,20,54.629999999999995
258,18,5499.32,27.5,305.5177777777778,0,0,2025-07-05,Standard,Organic,False,342,0,27.5
259,18,3227.29,16.14,179.2938888888889,1,0,2025-09-25,Standard,Referral,False,260,20,16.14
260,12,1600.65,8.01,133.38750000000002,0,0,2025-06-01,Standard,Organic,False,376,0,8.01
261,26,3124.69,15.61,120.18038461538461,2,0,2023-11-16,Standard,Google Ads,False,939,80,15.61
262,14,1845.63,9.23,131.8307142857143,0,0,2026-05-25,Standard,LinkedIn,True,18,120,9.23
263,21,3042.22,15.200000000000001,144.86761904761903,0,0,2026-03-16,Standard,Google Ads,False,88,80,15.200000000000001
264,23,4834.6,24.18,210.20000000000002,0,0,2025-04-20,Standard,Referral,False,418,20,24.18
265,24,18587.93,92.96,774.4970833333333,0,0,2025-02-11,Premium,Google Ads,False,486,80,92.96
266,20,3132.98,15.64,156.649,1,0,2026-01-27,Standard,Referral,True,136,20,15.64
